X,Y,month,day,ISI,temp,RH,wind,area,BUI,weekend
2,2,9,4,12.2,23.0,37,4.5,0.0,163.60882887561672,0
2,2,9,4,12.2,19.6,33,5.4,0.0,163.60882887561672,0
2,2,9,4,12.2,19.6,33,6.3,0.0,163.60882887561672,0
4,5,3,4,9.0,17.2,26,4.5,0.0,33.26019872518612,0
4,5,3,4,12.5,15.8,27,7.6,0.0,48.16531199197278,0
4,5,9,4,15.9,17.7,37,3.6,0.0,130.19110546378653,0
5,4,3,4,9.0,15.6,25,6.3,0.0,33.26019872518612,0
5,4,8,1,9.0,17.3,43,4.5,0.0,184.2093106079878,0
5,4,9,4,13.9,27.6,30,1.3,0.0,188.96368919298905,0
9,9,2,3,7.7,6.7,79,3.1,0.0,8.297247706422018,0
9,9,2,4,5.3,15.7,43,3.1,0.0,14.93684210526316,0
1,3,3,0,5.0,8.3,72,3.1,0.0,52.048006210173,0
1,2,8,4,12.5,14.7,66,2.7,0.0,143.08177044261066,0
1,2,8,1,7.0,21.6,19,6.7,0.0,157.45065926439972,0
1,2,8,6,10.6,19.5,39,6.3,0.0,178.8998537706288,1
1,2,8,6,6.3,17.9,44,2.2,0.0,142.84826175869122,1
1,2,8,1,17.0,18.6,51,4.5,0.0,152.70671678378818,0
1,2,8,2,9.6,16.6,47,0.9,0.0,156.06891964381504,0
1,2,8,3,6.3,20.2,45,3.6,0.0,159.62534185101103,0
1,2,9,3,9.2,21.5,15,0.9,0.0,184.5300791305177,0
1,2,9,3,9.2,25.4,27,2.2,0.0,184.5300791305177,0
1,2,9,3,9.2,22.4,34,2.2,0.0,184.5300791305177,0
1,2,9,6,8.1,25.3,36,3.6,0.0,197.44970731043247,1
6,5,3,5,7.8,17.4,25,4.9,0.0,35.74186677229008,1
6,5,8,5,8.9,14.7,59,5.8,0.0,139.61562698366902,1
8,6,3,4,7.8,17.4,24,5.4,0.0,35.74186677229008,0
8,6,8,6,14.7,20.8,32,6.3,0.0,118.72057040998216,1
8,6,8,6,10.6,18.2,43,4.9,0.0,178.8998537706288,1
8,6,8,0,5.8,23.4,22,2.7,0.0,147.0208742194469,0
4,4,9,6,4.8,17.8,64,1.3,0.0,136.4234990316333,1
3,4,2,5,2.6,12.7,48,1.8,0.0,9.625498007968128,1
3,4,8,6,10.6,19.8,39,5.4,0.0,178.8998537706288,1
3,4,8,1,9.0,14.4,66,5.4,0.0,184.2093106079878,0
2,4,8,1,17.0,20.1,40,4.0,0.0,152.70671678378818,0
2,4,9,5,8.6,24.1,29,4.5,0.0,167.15926930358694,1
4,5,3,4,2.8,12.7,52,6.3,0.0,21.07213578500707,0
4,5,3,3,7.5,18.2,29,3.1,0.0,30.68235559626636,0
4,5,8,6,6.3,21.4,33,3.1,0.0,142.84826175869122,1
4,5,9,5,7.1,20.3,45,3.1,0.0,133.84890050076203,1
4,5,9,0,7.1,17.4,56,5.4,0.0,138.74562486693634,0
4,4,3,4,2.8,13.7,43,5.8,0.0,21.07213578500707,0
3,4,3,4,9.0,18.8,18,4.5,0.0,33.26019872518612,0
3,4,9,6,4.8,22.8,39,3.6,0.0,136.4234990316333,1
3,4,9,0,9.2,18.9,35,2.7,0.0,123.5295203954158,0
3,4,3,1,3.8,15.8,27,7.6,0.0,26.35297686765264,0
3,5,3,1,3.8,15.5,27,6.3,0.0,26.35297686765264,0
3,4,3,5,7.8,11.6,30,6.3,0.0,35.74186677229008,1
3,4,3,5,7.8,15.2,27,4.9,0.0,35.74186677229008,1
3,4,3,0,6.2,10.6,30,4.0,0.0,39.61969440341152,0
3,4,8,3,7.7,19.6,36,3.1,0.0,107.30695579140263,0
3,4,8,0,10.7,10.3,74,2.2,0.0,182.01560152310384,0
3,4,8,0,10.7,17.1,43,5.4,0.0,182.01560152310384,0
3,4,9,6,8.5,22.5,42,5.4,0.0,170.49269892527374,1
3,4,9,1,3.2,17.9,45,3.1,0.0,115.30853401917233,0
3,4,9,4,15.9,19.8,50,5.4,0.0,130.19110546378653,0
3,4,10,6,8.8,20.6,24,5.4,0.0,79.6205680341563,1
3,5,3,0,5.0,9.0,49,2.2,0.0,52.048006210173,0
3,5,9,4,8.1,17.2,43,3.1,0.0,197.44970731043247,0
3,5,10,2,5.2,15.9,46,3.6,0.0,66.45506473228808,0
2,5,10,6,8.8,15.4,35,0.9,0.0,79.6205680341563,1
4,6,3,0,4.1,14.0,39,3.1,0.0,24.85062274005625,0
4,6,3,6,9.6,10.6,46,4.9,0.0,51.15059166450014,1
4,6,9,3,17.9,17.6,42,3.1,0.0,124.92575356358108,0
3,5,3,1,3.8,14.9,38,2.7,0.0,26.35297686765264,0
3,6,9,6,8.5,17.2,58,1.3,0.0,170.49269892527374,1
3,6,9,0,7.0,15.6,66,3.1,0.0,173.20817751184242,0
9,9,7,1,3.9,18.0,42,2.7,0.36,69.73267303927214,0
1,4,9,1,7.0,21.7,38,2.2,0.43,176.49766320657255,0
2,5,9,0,7.0,21.9,39,1.8,0.47,173.20817751184242,0
1,2,8,2,13.2,23.3,31,4.5,0.55,134.40448201297423,0
1,2,7,5,8.7,16.6,53,5.4,0.71,71.60612413143329,1
2,5,8,2,13.2,23.8,32,5.4,0.77,134.40448201297423,0
6,5,8,3,10.4,27.4,22,4.0,0.9,167.89375034414405,0
5,4,3,0,6.2,13.2,40,5.4,0.95,39.61969440341152,0
8,3,9,1,3.2,24.2,28,3.6,0.96,115.30853401917233,0
2,2,8,1,17.0,17.4,43,6.7,1.07,152.70671678378818,0
8,6,9,3,17.9,23.7,25,4.5,1.12,124.92575356358108,0
6,5,6,4,7.1,23.2,39,5.4,1.19,85.10576353822044,0
9,9,7,6,7.2,24.8,29,2.2,1.36,92.52599202582113,1
3,4,7,5,6.2,24.6,43,1.8,1.43,78.65937330193807,1
5,4,9,4,15.9,20.1,47,4.9,1.46,130.19110546378653,0
1,5,9,5,8.1,29.6,27,2.7,1.46,193.36631947644943,1
7,4,8,6,17.0,16.4,47,1.3,1.56,152.70671678378818,1
2,4,9,5,8.1,28.6,27,2.2,1.61,193.36631947644943,1
2,2,8,2,9.6,18.4,45,3.6,1.63,156.06891964381504,0
2,4,8,2,9.6,20.5,35,4.0,1.64,156.06891964381504,0
7,4,9,4,12.2,19.0,34,5.8,1.69,163.60882887561672,0
7,4,3,0,6.2,16.1,29,3.1,1.75,39.61969440341152,0
6,4,8,3,10.4,20.3,41,4.0,1.9,167.89375034414405,0
8,6,9,5,8.6,17.8,56,1.8,1.95,167.15926930358694,1
8,5,9,6,4.8,17.8,67,2.2,2.01,136.4234990316333,1
6,5,3,3,3.0,5.3,70,4.5,2.14,19.920398009950247,0
6,5,8,2,9.6,16.6,47,0.9,2.29,156.06891964381504,0
8,6,8,3,10.4,20.7,45,2.2,2.55,167.89375034414405,0
5,4,9,2,9.2,21.9,35,1.8,2.57,180.58126543060465,0
8,6,8,2,6.6,17.4,50,4.0,2.69,131.90004786979418,0
7,4,8,6,10.6,20.1,39,5.4,2.74,178.8998537706288,1
4,4,9,0,7.0,17.7,39,2.2,3.07,173.20817751184242,0
1,4,8,5,8.9,14.2,53,1.8,3.5,139.61562698366902,1
1,4,8,5,8.9,20.3,39,4.9,4.53,139.61562698366902,1
6,5,4,3,2.7,5.8,54,5.8,4.61,12.88826170622194,0
2,5,8,6,6.3,19.2,44,2.7,4.69,142.84826175869122,1
2,5,9,2,6.2,18.3,45,2.2,4.88,129.35899040246036,0
8,6,8,1,9.0,14.4,66,5.4,5.23,184.2093106079878,0
1,3,9,6,8.5,23.9,32,6.7,5.33,170.49269892527374,1
8,6,10,0,3.0,19.1,32,4.0,5.44,58.39120879120879,0
5,4,2,6,3.9,12.4,53,2.2,6.38,17.261855670103092,1
7,4,10,0,11.1,16.8,45,4.5,6.83,82.61050957362208,0
8,6,8,4,15.1,20.8,34,4.9,6.96,171.96433932717753,0
2,5,9,1,7.0,17.6,46,3.1,7.04,176.49766320657255,0
8,6,3,6,9.6,11.5,39,5.8,7.19,51.15059166450014,1
1,5,9,0,7.0,21.0,42,2.2,7.3,173.20817751184242,0
6,4,3,5,7.9,13.3,42,0.9,7.4,41.80474736789816,1
7,4,3,6,5.5,11.5,60,4.0,8.24,43.893090231789735,1
6,5,3,4,12.5,11.7,33,4.0,8.31,48.16531199197278,0
2,5,8,3,10.4,24.2,28,2.7,8.68,167.89375034414405,0
2,2,8,1,17.0,24.6,22,4.5,8.71,152.70671678378818,0
4,5,9,2,9.2,24.3,25,4.0,9.41,180.58126543060465,0
2,2,8,1,17.0,24.6,22,4.5,10.01,152.70671678378818,0
2,5,8,4,15.1,23.5,36,5.4,10.02,171.96433932717753,0
6,5,4,3,2.7,5.8,54,5.8,10.93,12.88826170622194,0
4,5,9,3,9.2,21.5,15,0.9,11.06,184.5300791305177,0
3,4,9,1,7.0,13.9,59,6.3,11.24,176.49766320657255,0
1,5,9,1,7.0,21.6,33,2.2,11.53,176.49766320657255,0
6,5,3,6,7.2,12.4,54,3.6,12.1,37.532943005117296,1
7,4,2,6,2.1,8.8,68,2.2,13.05,10.372144846796658,1
8,6,10,2,5.2,20.2,37,2.7,13.7,66.45506473228808,0
5,6,3,5,7.8,15.1,64,4.0,13.99,49.9561872756049,1
4,5,9,3,9.2,22.1,34,1.8,14.57,184.5300791305177,0
7,5,9,1,7.0,20.7,37,2.2,17.2,176.49766320657255,0
6,5,9,4,12.2,19.6,33,6.3,19.23,163.60882887561672,0
8,3,9,3,17.9,23.2,26,4.9,23.41,124.92575356358108,0
4,4,10,5,6.7,18.4,25,3.1,24.23,75.40671983922628,1
7,4,9,4,15.9,20.1,47,4.9,26.13,130.19110546378653,0
7,3,3,0,5.0,11.0,46,5.8,27.35,52.048006210173,0
4,4,3,5,7.8,17.0,27,4.9,28.66,35.74186677229008,1
4,4,9,6,8.5,16.9,60,1.3,29.48,170.49269892527374,1
1,3,9,0,7.1,12.4,73,6.3,30.32,138.74562486693634,0
4,5,9,2,9.2,19.4,19,1.3,31.72,180.58126543060465,0
6,5,3,0,6.2,15.2,27,3.1,31.86,39.61969440341152,0
8,6,8,6,6.3,16.2,59,3.1,32.07,142.84826175869122,1
3,4,9,4,13.9,18.6,49,3.6,35.88,188.96368919298905,0
4,3,3,0,5.0,11.0,46,5.8,36.85,52.048006210173,0
2,2,7,4,6.8,13.4,79,3.6,37.02,149.9717476257532,0
7,4,9,2,6.2,15.4,57,4.5,37.71,129.35899040246036,0
4,4,9,6,8.1,22.9,39,4.9,48.55,197.44970731043247,1
7,5,10,0,11.1,16.1,44,4.0,49.37,82.61050957362208,0
8,6,8,5,11.9,20.1,34,4.5,58.3,114.78021304538159,1
4,6,9,6,8.1,28.3,26,3.1,64.1,197.44970731043247,1
8,6,8,5,11.9,16.4,43,4.0,71.3,114.78021304538159,1
4,4,9,2,9.2,26.4,21,4.5,88.49,180.58126543060465,0
1,5,9,6,8.1,27.8,27,3.1,95.18,197.44970731043247,1
6,3,4,2,3.8,15.2,51,2.7,0.0,17.299421965317915,0
4,4,4,4,2.3,16.7,20,3.1,0.0,27.69056078021595,0
2,4,8,6,12.9,15.4,66,4.0,10.13,161.1003628649584,1
2,4,8,6,13.8,22.4,54,7.6,2.87,215.54318591066803,1
3,4,8,6,13.8,26.8,38,6.3,0.76,215.54318591066803,1
5,4,8,6,13.8,25.7,39,5.4,0.09,215.54318591066803,1
2,4,8,2,9.6,20.7,70,2.2,0.75,125.93437073437075,0
8,6,8,2,13.5,28.7,28,2.7,0.0,197.88086230482574,0
3,4,8,2,13.5,21.7,40,0.4,2.47,197.88086230482574,0
8,5,8,2,13.5,26.8,25,3.1,0.68,197.88086230482574,0
8,5,8,2,13.5,24.0,36,3.1,0.24,197.88086230482574,0
6,5,8,2,13.5,22.1,37,3.6,0.21,197.88086230482574,0
7,4,8,3,8.0,21.4,38,2.7,1.52,147.29302325581398,0
6,3,8,3,6.3,18.9,41,3.1,10.34,177.5826464656911,0
2,5,8,3,5.0,22.3,46,4.0,0.0,120.58965400653668,0
8,6,8,5,11.0,23.9,41,2.2,8.02,155.82866948861684,1
4,3,8,5,11.0,21.4,44,2.7,0.68,155.82866948861684,1
3,4,8,5,13.7,20.6,59,0.9,0.0,211.36004644723323,1
7,4,8,5,13.7,23.7,40,1.8,1.38,211.36004644723323,1
2,4,8,0,14.4,28.3,32,4.0,8.85,134.88859231013663,0
2,4,8,4,8.9,21.4,42,3.1,4.25,150.83185011709605,0
6,3,8,4,7.1,19.3,39,3.6,1.56,180.81379029383308,0
4,4,8,4,13.0,21.8,53,3.1,6.54,207.9127061808954,0
4,4,8,1,14.6,22.1,54,7.6,0.79,139.58962521717547,0
2,2,8,1,14.3,23.7,24,3.1,0.0,193.21211888044633,0
3,4,8,1,14.3,21.0,32,3.1,0.0,193.21211888044633,0
4,4,8,1,14.3,19.1,53,2.7,4.4,193.21211888044633,0
2,2,8,1,14.3,21.8,56,3.1,0.52,193.21211888044633,0
8,6,8,1,14.3,20.1,58,4.5,9.27,193.21211888044633,0
2,5,8,1,14.3,20.2,47,4.0,3.09,193.21211888044633,0
8,6,12,2,5.3,5.1,61,8.0,11.19,46.488469700542325,0
4,6,12,3,2.0,5.1,61,4.9,5.38,44.46315789473684,0
2,5,7,6,12.3,23.4,40,6.3,0.0,169.6405768875443,1
7,4,7,5,9.0,22.1,49,2.7,0.0,134.57867827032908,1
7,4,7,5,9.0,24.2,32,1.8,0.0,134.57867827032908,1
7,4,7,5,9.0,24.3,30,1.8,0.0,134.57867827032908,1
2,5,7,5,9.0,18.7,53,1.8,0.0,134.57867827032908,1
9,4,7,5,9.0,25.3,39,0.9,8.0,134.57867827032908,1
4,5,7,4,6.3,22.9,40,1.3,2.64,130.36623883928573,0
7,6,7,1,11.0,26.9,28,5.4,86.45,180.30088414138885,0
8,6,7,1,8.5,17.1,67,3.6,6.57,118.12315583044199,0
7,5,6,6,11.0,22.2,48,1.3,0.0,180.30088414138885,1
6,4,6,6,6.4,14.3,46,1.8,0.9,101.16256923525413,1
8,6,6,6,6.4,15.4,45,2.2,0.0,101.16256923525413,1
8,6,6,2,12.7,19.6,43,4.9,0.0,149.32411945895274,0
6,5,6,0,7.5,20.7,25,4.9,0.0,104.68704243907028,0
6,5,6,0,7.5,19.1,39,5.4,3.52,104.68704243907028,0
3,6,6,4,7.1,19.2,38,4.5,0.0,94.08620440981356,0
1,4,9,6,5.7,19.0,52,2.2,0.0,129.94998647990917,1
7,4,9,6,5.7,17.1,53,5.4,0.41,129.94998647990917,1
3,4,9,6,5.7,23.8,35,3.6,5.18,129.94998647990917,1
2,4,9,6,9.9,16.0,45,1.8,0.0,156.86872677488753,1
2,4,9,6,9.9,24.9,27,2.2,0.0,156.86872677488753,1
7,4,9,6,9.9,25.3,27,2.7,0.0,156.86872677488753,1
6,3,9,6,9.9,24.8,28,1.8,14.29,156.86872677488753,1
6,5,9,2,8.8,24.3,27,4.9,0.0,168.31332582582584,0
4,4,9,2,8.8,19.7,41,1.8,1.58,168.31332582582584,0
3,4,9,2,7.2,18.5,30,2.7,0.0,190.80311890838203,0
4,5,9,3,8.6,18.6,24,5.8,0.0,145.17865088274314,0
4,4,9,3,8.6,19.2,24,4.9,3.78,145.17865088274314,0
6,5,9,3,7.5,21.6,27,2.2,0.0,172.5004625346901,0
5,4,9,3,7.5,21.6,28,6.3,4.41,172.5004625346901,0
6,3,9,3,7.5,18.9,34,7.2,34.36,172.5004625346901,0
1,4,9,3,7.5,16.8,28,4.0,7.21,172.5004625346901,0
6,5,9,3,7.5,16.8,28,4.0,1.01,172.5004625346901,0
3,5,9,3,6.8,12.9,39,2.7,2.18,193.3673576241363,0
6,5,9,3,5.4,13.7,56,1.8,4.42,90.08607800964948,0
1,4,9,5,8.4,24.2,27,3.1,0.0,152.65018615040952,1
5,4,9,5,8.4,24.1,27,3.1,0.0,152.65018615040952,1
6,5,9,5,8.4,21.2,32,2.2,0.0,152.65018615040952,1
6,5,9,5,8.4,19.7,35,1.8,0.0,152.65018615040952,1
4,3,9,5,8.4,23.5,27,4.0,3.33,152.65018615040952,1
3,3,9,5,8.4,24.2,27,3.1,6.58,152.65018615040952,1
7,4,9,5,8.5,21.5,28,4.5,15.64,178.8580312754226,1
4,4,9,5,8.5,17.1,41,2.2,11.22,178.8580312754226,1
1,4,9,0,9.5,18.1,54,3.1,2.13,134.5041101717446,0
2,3,9,0,6.2,18.0,51,5.4,0.0,160.0340096618358,0
7,4,9,0,6.2,19.3,44,2.2,0.0,160.0340096618358,0
6,3,9,0,6.2,23.0,34,2.2,56.04,160.0340096618358,0
8,6,9,0,6.2,22.7,35,2.2,7.48,160.0340096618358,0
2,4,9,0,6.2,20.4,41,1.8,1.47,160.0340096618358,0
2,5,9,0,6.2,19.3,44,2.2,3.93,160.0340096618358,0
8,6,9,0,6.5,15.7,51,2.2,0.0,163.9607641370111,0
6,3,9,0,7.5,20.6,37,1.8,0.0,185.46157990020754,0
8,6,9,0,7.5,15.9,51,4.5,2.18,185.46157990020754,0
6,3,9,0,7.5,12.2,66,4.9,6.1,185.46157990020754,0
2,2,9,0,7.5,16.8,43,3.1,5.83,185.46157990020754,0
1,4,9,0,7.5,21.3,35,2.2,28.19,185.46157990020754,0
5,4,9,4,9.6,10.1,75,3.6,0.0,148.63960515713134,0
3,4,9,4,9.6,17.4,57,4.5,0.0,148.63960515713134,0
5,4,9,4,9.6,12.8,64,3.6,1.64,148.63960515713134,0
5,4,9,4,9.6,10.1,75,3.6,3.71,148.63960515713134,0
4,4,9,4,9.6,15.4,53,6.3,7.31,148.63960515713134,0
7,4,9,4,9.6,20.6,43,3.6,2.03,148.63960515713134,0
7,4,9,4,9.6,19.8,47,2.7,1.72,148.63960515713134,0
7,4,9,4,9.6,18.7,50,2.2,5.97,148.63960515713134,0
4,4,9,4,9.6,20.8,35,4.9,13.06,148.63960515713134,0
4,4,9,4,9.6,20.8,35,4.9,1.26,148.63960515713134,0
6,3,9,4,10.2,15.9,55,3.6,0.0,176.0179044487074,0
6,3,9,4,10.2,19.7,39,2.7,0.0,176.0179044487074,0
1,4,9,4,10.2,21.1,39,2.2,8.12,176.0179044487074,0
6,5,9,4,10.2,18.4,42,2.2,1.09,176.0179044487074,0
4,3,9,4,10.2,17.3,45,4.0,3.94,176.0179044487074,0
7,4,9,4,11.6,15.2,64,3.1,0.52,92.89431230610136,0
4,3,9,1,6.5,15.9,53,2.2,2.93,163.9607641370111,0
6,5,9,1,6.5,21.1,35,2.7,5.65,163.9607641370111,0
6,5,9,1,6.5,19.6,45,3.1,20.03,163.9607641370111,0
4,5,9,1,12.5,15.9,38,5.4,1.75,188.0226276414228,0
4,5,9,1,12.5,16.4,27,3.6,0.0,188.0226276414228,0
6,5,9,5,8.4,16.8,47,4.9,12.64,143.23709636280162,1
3,4,7,2,8.0,14.2,58,4.0,0.0,162.759040374488,0
4,5,8,6,8.1,10.4,75,0.9,0.0,230.32221748400852,1
5,4,8,3,13.9,20.3,42,2.7,0.0,247.6783676072055,0
6,5,9,5,8.4,15.4,57,4.9,39.35,143.23709636280162,1
8,6,8,0,8.2,21.1,54,2.2,0.0,233.97731283085457,0
6,5,3,3,8.0,8.7,51,5.8,0.0,18.687501552625868,0
5,4,7,2,11.9,19.3,39,7.2,7.73,130.5426304332561,0
8,6,8,3,6.8,16.2,63,2.7,16.33,221.23873255040994,0
9,6,8,3,6.3,20.5,58,2.7,42.87,272.3944137329066,0
2,4,8,6,7.6,20.9,50,2.2,16.0,208.46311840562726,1
3,4,9,6,11.4,20.6,55,5.4,24.59,146.28037288989674,1
5,5,3,3,8.0,11.6,48,5.4,0.0,18.687501552625868,0
6,4,8,4,12.0,23.3,34,3.1,28.74,251.798618741171,0
7,4,8,4,12.0,23.3,34,3.1,0.0,251.798618741171,0
7,4,2,0,4.1,7.5,71,6.3,9.96,13.500304692260816,0
8,6,9,4,7.2,20.7,46,2.7,30.18,139.4702333523051,0
6,5,2,0,2.2,5.3,68,1.8,0.0,7.382130584192439,0
4,5,2,6,3.5,10.1,62,1.8,51.78,12.899244332493703,1
4,3,9,6,11.4,20.4,55,4.9,3.64,146.28037288989674,1
5,6,8,6,7.6,24.3,33,3.6,3.63,208.46311840562726,1
1,2,8,5,8.4,25.9,32,3.1,0.0,255.65163785435277,1
9,5,6,2,14.0,28.0,34,4.5,0.0,69.93071538735319,0
9,5,6,2,14.0,28.0,34,4.5,8.16,69.93071538735319,0
3,4,9,3,8.3,22.8,46,4.0,4.95,135.55122873345937,0
9,9,8,4,12.0,25.0,36,4.0,0.0,251.798618741171,0
8,6,8,3,6.8,21.3,41,3.6,0.0,221.23873255040994,0
2,4,9,2,3.7,21.8,34,2.2,6.04,131.2314160708569,0
2,2,8,1,9.5,27.9,27,2.2,0.0,238.48225240473926,0
4,5,2,5,2.9,14.2,46,4.0,0.0,11.947019867549667,1
1,4,7,1,12.1,23.4,31,5.4,0.0,125.40680469089328,0
6,3,2,4,2.7,14.7,42,2.7,0.0,10.849824067558057,0
9,4,7,0,9.8,22.8,27,4.5,1.63,121.11968468803448,0
7,5,8,5,8.4,26.4,33,3.6,0.0,255.65163785435277,1
5,4,8,6,10.1,24.1,50,4.0,0.0,259.3749246672007,1
6,3,7,1,8.9,26.3,39,3.1,7.02,191.65109274377568,0
6,5,3,2,9.9,13.8,24,5.8,0.0,17.094544190955503,0
2,4,8,6,8.1,24.9,42,5.4,2.44,230.32221748400852,1
2,5,8,6,7.6,24.8,36,4.0,3.05,208.46311840562726,1
1,3,9,5,8.4,22.3,48,4.0,0.72,143.23709636280162,1
8,6,8,5,8.4,26.9,31,3.6,4.96,255.65163785435277,1
2,2,8,3,6.3,20.4,56,2.2,0.0,272.3944137329066,0
8,6,8,3,6.3,20.4,56,2.2,0.0,272.3944137329066,0
2,4,8,0,8.2,27.9,33,2.2,2.35,233.97731283085457,0
1,3,8,3,13.9,26.2,34,5.8,0.0,247.6783676072055,0
3,4,8,6,7.6,24.6,44,4.0,3.2,208.46311840562726,1
1,3,8,5,9.6,23.3,40,4.0,6.36,205.16690469389698,1
8,6,8,3,13.9,23.9,38,6.7,0.0,247.6783676072055,0
2,4,8,6,10.1,20.9,66,4.9,15.34,259.3749246672007,1
2,5,7,5,5.6,23.8,51,1.8,0.0,108.43212373587151,1
8,6,8,0,8.2,26.8,35,1.3,0.54,233.97731283085457,0
2,5,8,5,8.4,23.6,53,4.0,6.43,255.65163785435277,1
1,3,9,4,7.2,19.1,46,2.2,0.33,139.4702333523051,0
8,6,8,0,8.2,25.5,29,1.8,1.23,233.97731283085457,0
6,5,4,0,3.7,10.9,64,3.1,3.35,24.69368596862503,0
1,2,7,4,16.8,14.8,78,8.0,0.0,104.44472877048463,0
5,5,8,6,10.7,17.3,80,4.5,0.0,47.78960360251146,1
6,5,8,6,8.1,19.1,70,2.2,0.0,230.32221748400852,1
3,4,3,2,9.9,8.9,35,8.0,0.0,17.094544190955503,0
7,4,8,6,7.6,19.3,61,4.9,0.0,208.46311840562726,1
7,4,8,0,7.5,17.7,65,4.0,0.0,262.4672649121484,0
3,4,8,3,6.3,16.8,56,3.1,0.0,272.3944137329066,0
3,4,7,0,16.7,17.9,48,2.7,0.0,187.6592224979322,0
2,4,8,3,6.3,16.6,59,2.7,0.0,272.3944137329066,0
1,4,8,2,7.8,19.9,50,4.0,82.75,218.43370423546304,0
8,6,8,5,8.4,18.9,64,4.9,3.32,255.65163785435277,1
2,5,8,5,8.4,18.9,64,4.9,0.0,255.65163785435277,1
8,6,8,5,8.4,18.9,64,4.9,0.0,255.65163785435277,1
